job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills
Cientista de Dados,Sênior,Presencial,company_071,"Cambridge, MA",5 days ago,"Cambridge, MA, US",Tecnologia,Pública,"9,020",Public,"€9,140","['r', 'python', 'sql', 'hadoop', 'machine learning']"
Cientista de Dados,Sênior,Presencial,company_384,"Normal, IL . Plymouth, MI . Palo Alto, CA . Irvine, CA . Atlanta, GA",15 days ago,"Irvine, CA, US",Tecnologia,Pública,"3,780",€25.21B,"€147,050 - €196,370","['sql', 'r', 'python']"
Engenheiro de Machine Learning,,Híbrido,company_387,"Sunnyvale, CA . Hybrid",a day ago,"San Francisco, CA, US",Tecnologia,Privada,900,€8.62B,"€144,491",[]
Cientista de Dados,Sênior,Remoto,company_176,Fully Remote,11 days ago,"Mountain View, CA, US",Tecnologia,Pública,"2,780",Public,"€146,050 - €230,989",[]
Cientista de Dados,Sênior,Presencial,company_389,"Menlo Park, CA",3 months ago,"Bozeman, MT, US",Tecnologia,Pública,"3,760",€37.49B,"€181,756 - €258,932",['python']
Cientista de Dados,Sênior,Remoto,company_391,Fully Remote,7 days ago,"Greenbelt, MD, US",Tecnologia,Privada,270,Private,"€132,438 - €159,838",[]
Cientista de Dados,Sênior,Presencial,company_392,"Cincinnati, OH",a month ago,"Jacksonville, FL, US",Finanças,Pública,"62,010",€35.07B,"€157,017 - €263,794","['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']"
Cientista de Dados,Pleno,Presencial,company_395,"McLean, VA",6 days ago,"McLean, VA, US",Varejo,Pública,"55,120",€36.18B,"€121,479 - €138,650","['spark', 'aws', 'r', 'python', 'scala', 'sql', 'database', 'machine learning']"
Cientista de Dados,Sênior,Presencial,company_316,"Dublin, County Dublin, Ireland",15 days ago,"Eden Prairie, MN, US",Saúde,Pública,"37,970",Public,"€57,318","['machine learning', 'r', 'python']"
Cientista de Dados,Sênior,Presencial,company_367,On-site,a month ago,"New York, NY, US",Tecnologia,Privada,420,Private,"€216,463 - €242,949",[]
Cientista de Dados,,Híbrido,company_403,"Boston, MA . Hybrid",5 days ago,"Boston, MA, US",Varejo,Pública,"17,010",Public,"€130,609 - €140,656",[]
Cientista de Dados,Sênior,,company_404,United States,10 days ago,"Northbrook, IL, US",Tecnologia,Pública,"8,270",€31.37B,"€87,412 - €139,463","['aws', 'r', 'python', 'linux', 'sql', 'machine learning', 'deep learning', 'azure']"
Cientista de Dados,Sênior,Remoto,company_337,"Arlington, VA",a month ago,"Fairfax, VA, US",Finanças,Pública,"7,290",Public,"€89,623 - €152,356","['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']"
Engenheiro de Machine Learning,Pleno,Presencial,company_336,"New York, NY",14 days ago,"South San Francisco, CA, US",Tecnologia,Privada,"14,060",Private,"€128,871 - €239,383","['deep learning', 'machine learning', 'r', 'python']"
